feature,kind,group,key,value
claim_type,categorical,flagged,Professional,0.5224111282843895
claim_type,categorical,flagged,Institutional-OP,0.3261205564142195
claim_type,categorical,flagged,Institutional-IP,0.15146831530139104
claim_type,categorical,unflagged,Professional,0.5495163141498607
claim_type,categorical,unflagged,Institutional-OP,0.30021314969667157
claim_type,categorical,unflagged,Institutional-IP,0.15027053615346778
billed_amount,numeric,flagged,mean,1692.4845285935085
billed_amount,numeric,flagged,median,435.89
billed_amount,numeric,unflagged,mean,1652.6620200032792
billed_amount,numeric,unflagged,median,429.24
fraud_pattern_type,categorical,flagged,Upcoding,0.2982998454404946
fraud_pattern_type,categorical,flagged,Phantom,0.2132921174652241
fraud_pattern_type,categorical,flagged,Unbundling,0.2071097372488408
fraud_pattern_type,categorical,flagged,Duplicate,0.1947449768160742
fraud_pattern_type,categorical,flagged,Identity_Theft,0.0865533230293663
fraud_pattern_type,categorical,unflagged,(missing),1.0
