group_by,group_value,n,claim_count,paid_amount_sum,paid_amount_mean,denial_rate_numerator,denial_rate_denominator,denial_rate,small_group_flag
provider_specialty,ASC,966,966,775948.8499999999,803.2596790890268,93,966,0.09627329192546584,False
provider_specialty,Cardiology,157,157,93897.51999999999,598.0733757961783,20,157,0.12738853503184713,False
provider_specialty,Clinical Laboratory,254,254,168400.07,662.9924015748031,25,254,0.0984251968503937,False
provider_specialty,Critical Access Hospital,1225,1225,898337.3600000001,733.3366204081633,137,1225,0.11183673469387755,False
provider_specialty,DME Supplier,841,841,634611.68,754.5917717003567,80,841,0.09512485136741974,False
provider_specialty,Diagnostic Radiology,71,71,66168.88,931.9560563380282,4,71,0.056338028169014086,False
provider_specialty,Endocrinology,509,509,419000.4199999999,823.1835363457759,55,509,0.10805500982318271,False
provider_specialty,Family Medicine,586,586,489734.37,835.724180887372,57,586,0.09726962457337884,False
provider_specialty,Gastroenterology,200,200,135994.03999999998,679.9701999999999,23,200,0.115,False
provider_specialty,General Acute Care Hospital,619,619,463652.27,749.0343618739903,53,619,0.08562197092084006,False
provider_specialty,Geriatrics,515,515,409148.24,794.4626019417476,48,515,0.09320388349514563,False
provider_specialty,Home Health,358,358,265949.32999999996,742.875223463687,29,358,0.08100558659217877,False
provider_specialty,Internal Medicine,636,636,453841.47000000003,713.5872169811321,68,636,0.1069182389937107,False
provider_specialty,Nephrology,493,493,310059.45999999996,628.9238539553752,46,493,0.09330628803245436,False
provider_specialty,Neurology,271,271,213627.25999999998,788.2924723247231,18,271,0.06642066420664207,False
provider_specialty,OB/GYN,363,363,304013.21,837.501955922865,30,363,0.08264462809917356,False
provider_specialty,Oncology,405,405,287539.79000000004,709.9747901234568,47,405,0.11604938271604938,False
provider_specialty,Orthopedic Surgery,685,685,442598.51,646.1292116788321,79,685,0.11532846715328467,False
provider_specialty,Outpatient Clinic,481,481,365534.05000000005,759.94604989605,36,481,0.07484407484407485,False
provider_specialty,Pediatrics,499,499,414771.48,831.205370741483,53,499,0.1062124248496994,False
provider_specialty,Physical Therapy,399,399,299024.70999999996,749.4353634085212,50,399,0.12531328320802004,False
provider_specialty,Psychiatry,191,191,146237.02000000002,765.6388481675393,21,191,0.1099476439790576,False
provider_specialty,Pulmonology,543,543,407541.67000000004,750.5371454880295,47,543,0.0865561694290976,False
provider_specialty,SNF,964,964,833672.8600000001,864.8058713692947,103,964,0.10684647302904564,False
provider_specialty,Urology,614,614,484111.25,788.4548045602606,64,614,0.10423452768729642,False
