group_by,group_value,n,claim_count,paid_amount_sum,paid_amount_mean,denial_rate_numerator,denial_rate_denominator,denial_rate,small_group_flag
provider_specialty,ASC,966,966,775948.8499999999,803.2596790890268,93,929,0.10010764262648009,False
provider_specialty,Cardiology,157,157,93897.51999999999,598.0733757961783,20,151,0.13245033112582782,False
provider_specialty,Clinical Laboratory,254,254,168400.07,662.9924015748031,25,243,0.102880658436214,False
provider_specialty,Critical Access Hospital,1225,1225,898337.3600000001,733.3366204081633,137,1172,0.11689419795221843,False
provider_specialty,DME Supplier,841,841,634611.68,754.5917717003567,80,809,0.09888751545117429,False
provider_specialty,Diagnostic Radiology,71,71,66168.88,931.9560563380282,4,68,0.058823529411764705,False
provider_specialty,Endocrinology,509,509,419000.4199999999,823.1835363457759,55,482,0.11410788381742738,False
provider_specialty,Family Medicine,586,586,489734.37,835.724180887372,57,572,0.09965034965034965,False
provider_specialty,Gastroenterology,200,200,135994.03999999998,679.9701999999999,23,193,0.11917098445595854,False
provider_specialty,General Acute Care Hospital,619,619,463652.27,749.0343618739903,53,591,0.08967851099830795,False
provider_specialty,Geriatrics,515,515,409148.24,794.4626019417476,48,492,0.0975609756097561,False
provider_specialty,Home Health,358,358,265949.32999999996,742.875223463687,29,345,0.08405797101449275,False
provider_specialty,Internal Medicine,636,636,453841.47000000003,713.5872169811321,68,617,0.11021069692058347,False
provider_specialty,Nephrology,493,493,310059.45999999996,628.9238539553752,46,470,0.09787234042553192,False
provider_specialty,Neurology,271,271,213627.25999999998,788.2924723247231,18,265,0.06792452830188679,False
provider_specialty,OB/GYN,363,363,304013.21,837.501955922865,30,348,0.08620689655172414,False
provider_specialty,Oncology,405,405,287539.79000000004,709.9747901234568,47,384,0.12239583333333333,False
provider_specialty,Orthopedic Surgery,685,685,442598.51,646.1292116788321,79,663,0.1191553544494721,False
provider_specialty,Outpatient Clinic,481,481,365534.05000000005,759.94604989605,36,455,0.07912087912087912,False
provider_specialty,Pediatrics,499,499,414771.48,831.205370741483,53,478,0.1108786610878661,False
provider_specialty,Physical Therapy,399,399,299024.70999999996,749.4353634085212,50,379,0.13192612137203166,False
provider_specialty,Psychiatry,191,191,146237.02000000002,765.6388481675393,21,180,0.11666666666666667,False
provider_specialty,Pulmonology,543,543,407541.67000000004,750.5371454880295,47,523,0.08986615678776291,False
provider_specialty,SNF,964,964,833672.8600000001,864.8058713692947,103,933,0.11039657020364416,False
provider_specialty,Urology,614,614,484111.25,788.4548045602606,64,597,0.10720268006700168,False
