month,claim_count,paid_amount_sum
2021-01,350,268195.94
2021-02,333,327651.82
2021-03,362,287953.63
2021-04,327,271793.7
2021-05,375,237016.98
2021-06,355,235769.79
2021-07,355,291755.87
2021-08,360,262412.22
2021-09,370,229651.01
2021-10,405,404061.99
2021-11,344,265096.5
2021-12,344,271003.8
2022-01,400,273142.57
2022-02,304,285492.41
2022-03,362,294658.5
2022-04,352,301681.07
2022-05,360,250553.19
2022-06,386,284256.98
2022-07,374,272840.05
2022-08,384,265683.15
2022-09,302,300203.63
2022-10,338,216004.52
2022-11,369,266731.09
2022-12,332,291177.84
2023-01,405,313800.29
2023-02,304,191815.63
2023-03,379,214152.92
2023-04,367,288738.0
2023-05,391,297228.21
2023-06,377,302912.76
2023-07,357,304799.58
2023-08,374,336002.26
2023-09,306,191812.91
2023-10,344,222627.0
2023-11,348,213216.63
2023-12,350,251521.33
