group_by,group_value,n,claim_count,paid_amount_sum,denial_rate_numerator,denial_rate_denominator,denial_rate,fraud_rate_numerator,fraud_rate_denominator,fraud_rate,small_group_flag
provider_specialty+network_status,ASC|In-Network,799,799,644206.1799999999,73,799,0.09136420525657071,41,799,0.05131414267834793,False
provider_specialty+network_status,ASC|Out-of-Network,167,167,131742.67,20,167,0.11976047904191617,10,167,0.059880239520958084,False
provider_specialty+network_status,Cardiology|In-Network,157,157,93897.51999999999,20,157,0.12738853503184713,9,157,0.05732484076433121,False
provider_specialty+network_status,Clinical Laboratory|In-Network,164,164,105964.55,17,164,0.10365853658536585,12,164,0.07317073170731707,False
provider_specialty+network_status,Clinical Laboratory|Out-of-Network,90,90,62435.520000000004,8,90,0.08888888888888889,4,90,0.044444444444444446,False
provider_specialty+network_status,Critical Access Hospital|In-Network,944,944,648344.4400000001,115,944,0.12182203389830508,37,944,0.03919491525423729,False
provider_specialty+network_status,Critical Access Hospital|Out-of-Network,281,281,249992.92,22,281,0.07829181494661921,17,281,0.060498220640569395,False
provider_specialty+network_status,DME Supplier|In-Network,841,841,634611.68,80,841,0.09512485136741974,38,841,0.04518430439952437,False
provider_specialty+network_status,Diagnostic Radiology|Out-of-Network,71,71,66168.88,4,71,0.056338028169014086,5,71,0.07042253521126761,False
provider_specialty+network_status,Endocrinology|In-Network,418,418,343979.67000000004,49,418,0.11722488038277512,18,418,0.0430622009569378,False
provider_specialty+network_status,Endocrinology|Out-of-Network,91,91,75020.75000000001,6,91,0.06593406593406594,4,91,0.04395604395604396,False
provider_specialty+network_status,Family Medicine|In-Network,421,421,353444.66000000003,39,421,0.09263657957244656,20,421,0.047505938242280284,False
provider_specialty+network_status,Family Medicine|Out-of-Network,165,165,136289.71,18,165,0.10909090909090909,9,165,0.05454545454545454,False
provider_specialty+network_status,Gastroenterology|In-Network,200,200,135994.03999999998,23,200,0.115,12,200,0.06,False
provider_specialty+network_status,General Acute Care Hospital|In-Network,351,351,243620.43000000002,30,351,0.08547008547008547,14,351,0.039886039886039885,False
provider_specialty+network_status,General Acute Care Hospital|Out-of-Network,268,268,220031.84000000003,23,268,0.08582089552238806,9,268,0.033582089552238806,False
provider_specialty+network_status,Geriatrics|In-Network,415,415,334138.31000000006,41,415,0.09879518072289156,31,415,0.0746987951807229,False
provider_specialty+network_status,Geriatrics|Out-of-Network,100,100,75009.93,7,100,0.07,4,100,0.04,False
provider_specialty+network_status,Home Health|In-Network,358,358,265949.32999999996,29,358,0.08100558659217877,18,358,0.05027932960893855,False
provider_specialty+network_status,Internal Medicine|In-Network,559,559,387765.97000000003,59,559,0.10554561717352415,28,559,0.05008944543828265,False
provider_specialty+network_status,Internal Medicine|Out-of-Network,77,77,66075.49999999999,9,77,0.11688311688311688,5,77,0.06493506493506493,False
provider_specialty+network_status,Nephrology|In-Network,413,413,274528.22,37,413,0.08958837772397095,18,413,0.043583535108958835,False
provider_specialty+network_status,Nephrology|Out-of-Network,80,80,35531.240000000005,9,80,0.1125,2,80,0.025,False
provider_specialty+network_status,Neurology|In-Network,178,178,117851.69,12,178,0.06741573033707865,10,178,0.056179775280898875,False
provider_specialty+network_status,Neurology|Out-of-Network,93,93,95775.56999999998,6,93,0.06451612903225806,9,93,0.0967741935483871,False
provider_specialty+network_status,OB/GYN|In-Network,363,363,304013.21,30,363,0.08264462809917356,18,363,0.049586776859504134,False
provider_specialty+network_status,Oncology|In-Network,329,329,218319.95,38,329,0.11550151975683891,19,329,0.057750759878419454,False
provider_specialty+network_status,Oncology|Out-of-Network,76,76,69219.84,9,76,0.11842105263157894,2,76,0.02631578947368421,False
provider_specialty+network_status,Orthopedic Surgery|In-Network,685,685,442598.51,79,685,0.11532846715328467,43,685,0.06277372262773723,False
provider_specialty+network_status,Outpatient Clinic|In-Network,410,410,310473.0800000001,29,410,0.07073170731707316,26,410,0.06341463414634146,False
provider_specialty+network_status,Outpatient Clinic|Out-of-Network,71,71,55060.969999999994,7,71,0.09859154929577464,5,71,0.07042253521126761,False
provider_specialty+network_status,Pediatrics|In-Network,499,499,414771.48,53,499,0.1062124248496994,29,499,0.05811623246492986,False
provider_specialty+network_status,Physical Therapy|In-Network,297,297,203136.16999999998,38,297,0.12794612794612795,16,297,0.05387205387205387,False
provider_specialty+network_status,Physical Therapy|Out-of-Network,102,102,95888.54,12,102,0.11764705882352941,4,102,0.0392156862745098,False
provider_specialty+network_status,Psychiatry|In-Network,191,191,146237.02000000002,21,191,0.1099476439790576,9,191,0.04712041884816754,False
provider_specialty+network_status,Pulmonology|In-Network,453,453,357491.43000000005,40,453,0.08830022075055188,22,453,0.04856512141280353,False
provider_specialty+network_status,Pulmonology|Out-of-Network,90,90,50050.240000000005,7,90,0.07777777777777778,3,90,0.03333333333333333,False
provider_specialty+network_status,SNF|In-Network,889,889,753010.58,97,889,0.10911136107986502,29,889,0.03262092238470191,False
provider_specialty+network_status,SNF|Out-of-Network,75,75,80662.28,6,75,0.08,7,75,0.09333333333333334,False
provider_specialty+network_status,Urology|In-Network,454,454,339071.8,46,454,0.1013215859030837,26,454,0.05726872246696035,False
provider_specialty+network_status,Urology|Out-of-Network,160,160,145039.44999999998,18,160,0.1125,5,160,0.03125,False
