month,claim_count,paid_amount_sum
2021-01,94,71453.0
2021-02,297,231110.07
2021-03,361,337552.58
2021-04,336,281267.69
2021-05,351,267969.7
2021-06,347,212995.72
2021-07,376,265009.44
2021-08,357,301602.43
2021-09,355,264466.73
2021-10,386,265196.9
2021-11,381,373387.64999999997
2021-12,358,267214.32
2022-01,355,271542.12
2022-02,348,243692.18
2022-03,342,338656.33999999997
2022-04,363,250225.4
2022-05,340,271562.61
2022-06,367,288576.95
2022-07,409,287391.14
2022-08,382,259770.07
2022-09,333,258008.97
2022-10,328,336846.76
2022-11,341,228626.71
2022-12,348,220713.34
2023-01,375,325732.73
2023-02,338,256536.93
2023-03,364,230763.25
2023-04,360,232111.26
2023-05,392,270113.3
2023-06,378,301811.11
2023-07,377,322953.9
2023-08,329,284509.84
2023-09,365,283293.03
2023-10,340,249105.03
2023-11,312,171517.13
2023-12,360,261162.29
2024-01,269,175513.13999999998
2024-02,31,23454.01
