feature,kind,group,key,value
claim_type,categorical,flagged,Professional,0.5224111282843895
claim_type,categorical,flagged,Institutional-OP,0.3261205564142195
claim_type,categorical,flagged,Institutional-IP,0.15146831530139104
claim_type,categorical,unflagged,Professional,0.5495163141498607
claim_type,categorical,unflagged,Institutional-OP,0.30021314969667157
claim_type,categorical,unflagged,Institutional-IP,0.15027053615346778
cpt_category,categorical,flagged,E&M,0.2874806800618238
cpt_category,categorical,flagged,Surgery,0.241112828438949
cpt_category,categorical,flagged,Medicine,0.18238021638330756
cpt_category,categorical,flagged,Radiology,0.16228748068006182
cpt_category,categorical,flagged,Pathology/Lab,0.1267387944358578
cpt_category,categorical,unflagged,E&M,0.30209870470568945
cpt_category,categorical,unflagged,Surgery,0.2520085259878669
cpt_category,categorical,unflagged,Radiology,0.15395966551893753
cpt_category,categorical,unflagged,Medicine,0.14789309722905394
cpt_category,categorical,unflagged,Pathology/Lab,0.1440400065584522
place_of_service,categorical,flagged,22,0.4327666151468315
place_of_service,categorical,flagged,11,0.2071097372488408
place_of_service,categorical,flagged,21,0.2009273570324575
place_of_service,categorical,flagged,23,0.03245749613601236
place_of_service,categorical,flagged,12,0.02472952086553323
place_of_service,categorical,flagged,49,0.02472952086553323
place_of_service,categorical,flagged,81,0.02472952086553323
place_of_service,categorical,flagged,20,0.021638330757341576
place_of_service,categorical,flagged,31,0.017001545595054096
place_of_service,categorical,flagged,50,0.0077279752704791345
place_of_service,categorical,flagged,65,0.0061823802163833074
place_of_service,categorical,unflagged,22,0.39883587473356286
place_of_service,categorical,unflagged,11,0.21651090342679127
place_of_service,categorical,unflagged,21,0.1971634694212166
place_of_service,categorical,unflagged,23,0.04279390063944909
place_of_service,categorical,unflagged,20,0.02885718970323004
place_of_service,categorical,unflagged,49,0.027709460567306117
place_of_service,categorical,unflagged,12,0.024184292506968356
place_of_service,categorical,unflagged,81,0.02041318248893261
place_of_service,categorical,unflagged,50,0.01705197573372684
place_of_service,categorical,unflagged,31,0.016560091818330874
place_of_service,categorical,unflagged,65,0.009919658960485326
provider_specialty,categorical,flagged,Critical Access Hospital,0.08346213292117466
provider_specialty,categorical,flagged,ASC,0.07882534775888717
provider_specialty,categorical,flagged,Orthopedic Surgery,0.06646058732612056
provider_specialty,categorical,flagged,DME Supplier,0.05873261205564142
provider_specialty,categorical,flagged,SNF,0.05564142194744977
provider_specialty,categorical,flagged,Geriatrics,0.05409582689335394
provider_specialty,categorical,flagged,Internal Medicine,0.05100463678516229
provider_specialty,categorical,flagged,Outpatient Clinic,0.04791344667697063
provider_specialty,categorical,flagged,Urology,0.04791344667697063
provider_specialty,categorical,flagged,Family Medicine,0.04482225656877898
provider_specialty,categorical,flagged,Pediatrics,0.04482225656877898
provider_specialty,categorical,flagged,Pulmonology,0.03863987635239567
provider_specialty,categorical,flagged,General Acute Care Hospital,0.03554868624420402
provider_specialty,categorical,flagged,Endocrinology,0.03400309119010819
provider_specialty,categorical,flagged,Oncology,0.03245749613601236
provider_specialty,categorical,flagged,Nephrology,0.030911901081916538
provider_specialty,categorical,flagged,Physical Therapy,0.030911901081916538
provider_specialty,categorical,flagged,Neurology,0.02936630602782071
provider_specialty,categorical,flagged,Home Health,0.027820710973724884
provider_specialty,categorical,flagged,OB/GYN,0.027820710973724884
provider_specialty,categorical,flagged,Clinical Laboratory,0.02472952086553323
provider_specialty,categorical,flagged,Gastroenterology,0.01854714064914992
provider_specialty,categorical,flagged,Cardiology,0.013910355486862442
provider_specialty,categorical,flagged,Psychiatry,0.013910355486862442
provider_specialty,categorical,flagged,Diagnostic Radiology,0.0077279752704791345
provider_specialty,categorical,unflagged,Critical Access Hospital,0.09599934415477947
provider_specialty,categorical,unflagged,SNF,0.07607804558124283
provider_specialty,categorical,unflagged,ASC,0.0750122970978849
provider_specialty,categorical,unflagged,DME Supplier,0.06583046401049353
provider_specialty,categorical,unflagged,Orthopedic Surgery,0.05263157894736842
provider_specialty,categorical,unflagged,Internal Medicine,0.04943433349729464
provider_specialty,categorical,unflagged,General Acute Care Hospital,0.04886046892933268
provider_specialty,categorical,unflagged,Urology,0.04779472044597475
provider_specialty,categorical,unflagged,Family Medicine,0.04566322347925889
provider_specialty,categorical,unflagged,Pulmonology,0.042465978029185114
provider_specialty,categorical,unflagged,Endocrinology,0.03992457779963929
provider_specialty,categorical,unflagged,Geriatrics,0.039350713231677326
provider_specialty,categorical,unflagged,Nephrology,0.03877684866371536
provider_specialty,categorical,unflagged,Pediatrics,0.03853090670601738
provider_specialty,categorical,unflagged,Outpatient Clinic,0.03689129365469749
provider_specialty,categorical,unflagged,Oncology,0.03148057058534186
provider_specialty,categorical,unflagged,Physical Therapy,0.03107066732251189
provider_specialty,categorical,unflagged,OB/GYN,0.028283325135268076
provider_specialty,categorical,unflagged,Home Health,0.027873421872438103
provider_specialty,categorical,unflagged,Neurology,0.020659124446630595
provider_specialty,categorical,unflagged,Clinical Laboratory,0.019511395310706673
provider_specialty,categorical,unflagged,Gastroenterology,0.015412362682406953
provider_specialty,categorical,unflagged,Psychiatry,0.014920478767010985
provider_specialty,categorical,unflagged,Cardiology,0.012133136579767174
provider_specialty,categorical,unflagged,Diagnostic Radiology,0.0054107230693556324
network_status,categorical,flagged,In-Network,0.839258114374034
network_status,categorical,flagged,Out-of-Network,0.160741885625966
network_status,categorical,unflagged,In-Network,0.8398917855386129
network_status,categorical,unflagged,Out-of-Network,0.16010821446138712
billed_amount,numeric,flagged,mean,1692.4845285935085
billed_amount,numeric,flagged,median,435.89
billed_amount,numeric,unflagged,mean,1652.6620200032792
billed_amount,numeric,unflagged,median,429.24
allowed_amount,numeric,flagged,mean,994.5379752704793
allowed_amount,numeric,flagged,median,240.38
allowed_amount,numeric,unflagged,mean,945.3809952451221
allowed_amount,numeric,unflagged,median,241.93
paid_amount,numeric,flagged,mean,832.0844204018546
paid_amount,numeric,flagged,median,148.41
paid_amount,numeric,unflagged,mean,757.9158181669125
paid_amount,numeric,unflagged,median,124.1
service_units,numeric,flagged,mean,1.9876352395672334
service_units,numeric,flagged,median,2.0
service_units,numeric,unflagged,mean,2.0054927037219215
service_units,numeric,unflagged,median,2.0
length_of_stay,numeric,flagged,mean,0.7125193199381762
length_of_stay,numeric,flagged,median,0.0
length_of_stay,numeric,unflagged,mean,0.750040990326283
length_of_stay,numeric,unflagged,median,0.0
er_flag,categorical,flagged,0,0.9675425038639877
er_flag,categorical,flagged,1,0.03245749613601236
er_flag,categorical,unflagged,0,0.9572060993605509
er_flag,categorical,unflagged,1,0.04279390063944909
auth_required_flag,categorical,flagged,0,0.8284389489953632
auth_required_flag,categorical,flagged,1,0.17156105100463678
auth_required_flag,categorical,unflagged,0,0.8545663223479258
auth_required_flag,categorical,unflagged,1,0.1454336776520741
high_cost_flag,categorical,flagged,0,0.973724884080371
high_cost_flag,categorical,flagged,1,0.02627511591962906
high_cost_flag,categorical,unflagged,0,0.9767994753238236
high_cost_flag,categorical,unflagged,1,0.023200524676176424
member_sex,categorical,flagged,F,0.508500772797527
member_sex,categorical,flagged,M,0.49149922720247297
member_sex,categorical,unflagged,M,0.501311690441056
member_sex,categorical,unflagged,F,0.4986883095589441
member_race_ethnicity,categorical,flagged,White,0.616692426584235
member_race_ethnicity,categorical,flagged,Hispanic/Latino,0.16692426584234932
member_race_ethnicity,categorical,flagged,Black/AA,0.1267387944358578
member_race_ethnicity,categorical,flagged,Asian,0.0695517774343122
member_race_ethnicity,categorical,flagged,AIAN,0.012364760432766615
member_race_ethnicity,categorical,flagged,Two+,0.00463678516228748
member_race_ethnicity,categorical,flagged,NHOPI,0.0030911901081916537
member_race_ethnicity,categorical,unflagged,White,0.6143630103295622
member_race_ethnicity,categorical,unflagged,Hispanic/Latino,0.15568125922282341
member_race_ethnicity,categorical,unflagged,Black/AA,0.1264961469093294
member_race_ethnicity,categorical,unflagged,Asian,0.07189703230037711
member_race_ethnicity,categorical,unflagged,AIAN,0.015658304640104936
member_race_ethnicity,categorical,unflagged,Two+,0.010903426791277258
member_race_ethnicity,categorical,unflagged,NHOPI,0.00500081980652566
member_age_band,categorical,flagged,50-64,0.31375579598145287
member_age_band,categorical,flagged,65-79,0.23647604327666152
member_age_band,categorical,flagged,35-49,0.17928902627511592
member_age_band,categorical,flagged,18-34,0.1375579598145286
member_age_band,categorical,flagged,80+,0.07109737248840804
member_age_band,categorical,flagged,0-17,0.061823802163833076
member_age_band,categorical,unflagged,50-64,0.3037383177570093
member_age_band,categorical,unflagged,65-79,0.21519921298573536
member_age_band,categorical,unflagged,35-49,0.20519757337268404
member_age_band,categorical,unflagged,18-34,0.12116740449253977
member_age_band,categorical,unflagged,0-17,0.08173471060829644
member_age_band,categorical,unflagged,80+,0.07222495491064108
member_age_band,categorical,unflagged,(missing),0.0007378258730939498
member_payer_type,categorical,flagged,commercial,0.4899536321483771
member_payer_type,categorical,flagged,medicare_advantage,0.2921174652241113
member_payer_type,categorical,flagged,medicaid,0.1839258114374034
member_payer_type,categorical,flagged,self_insured,0.03400309119010819
member_payer_type,categorical,unflagged,commercial,0.44753238235776355
member_payer_type,categorical,unflagged,medicare_advantage,0.28611247745532054
member_payer_type,categorical,unflagged,medicaid,0.22528283325135268
member_payer_type,categorical,unflagged,self_insured,0.041072306935563206
