segment,value,numerator,denominator,rate,small_group_flag
place_of_service,11,272,2775,0.09801801801801802,False
place_of_service,12,44,311,0.1414790996784566,False
place_of_service,20,31,366,0.08469945355191257,False
place_of_service,21,227,2535,0.08954635108481263,False
place_of_service,22,545,5145,0.10592808551992225,False
place_of_service,23,57,543,0.10497237569060773,False
place_of_service,31,18,213,0.08450704225352113,False
place_of_service,49,31,354,0.08757062146892655,False
place_of_service,50,22,213,0.10328638497652583,False
place_of_service,65,12,125,0.096,False
place_of_service,81,27,265,0.1018867924528302,False
auth_required_flag,0,1112,10960,0.10145985401459855,False
auth_required_flag,1,174,1885,0.09230769230769231,False
network_status,In-Network,1095,10788,0.10150166852057842,False
network_status,Out-of-Network,191,2057,0.09285367039377734,False
