feature,kind,group,key,value
claim_type,categorical,flagged,Professional,0.5224111282843895
claim_type,categorical,flagged,Institutional-OP,0.3261205564142195
claim_type,categorical,flagged,Institutional-IP,0.15146831530139104
claim_type,categorical,unflagged,Professional,0.5495163141498607
claim_type,categorical,unflagged,Institutional-OP,0.30021314969667157
claim_type,categorical,unflagged,Institutional-IP,0.15027053615346778
cpt_category,categorical,flagged,E&M,0.2874806800618238
cpt_category,categorical,flagged,Surgery,0.241112828438949
cpt_category,categorical,flagged,Medicine,0.18238021638330756
cpt_category,categorical,flagged,Radiology,0.16228748068006182
cpt_category,categorical,flagged,Pathology/Lab,0.1267387944358578
cpt_category,categorical,unflagged,E&M,0.30209870470568945
cpt_category,categorical,unflagged,Surgery,0.2520085259878669
cpt_category,categorical,unflagged,Radiology,0.15395966551893753
cpt_category,categorical,unflagged,Medicine,0.14789309722905394
cpt_category,categorical,unflagged,Pathology/Lab,0.1440400065584522
place_of_service,categorical,flagged,22,0.4327666151468315
place_of_service,categorical,flagged,11,0.2071097372488408
place_of_service,categorical,flagged,21,0.2009273570324575
place_of_service,categorical,flagged,23,0.03245749613601236
place_of_service,categorical,flagged,12,0.02472952086553323
place_of_service,categorical,flagged,49,0.02472952086553323
place_of_service,categorical,flagged,81,0.02472952086553323
place_of_service,categorical,flagged,20,0.021638330757341576
place_of_service,categorical,flagged,31,0.017001545595054096
place_of_service,categorical,flagged,50,0.0077279752704791345
place_of_service,categorical,flagged,65,0.0061823802163833074
place_of_service,categorical,unflagged,22,0.39883587473356286
place_of_service,categorical,unflagged,11,0.21651090342679127
place_of_service,categorical,unflagged,21,0.1971634694212166
place_of_service,categorical,unflagged,23,0.04279390063944909
place_of_service,categorical,unflagged,20,0.02885718970323004
place_of_service,categorical,unflagged,49,0.027709460567306117
place_of_service,categorical,unflagged,12,0.024184292506968356
place_of_service,categorical,unflagged,81,0.02041318248893261
place_of_service,categorical,unflagged,50,0.01705197573372684
place_of_service,categorical,unflagged,31,0.016560091818330874
place_of_service,categorical,unflagged,65,0.009919658960485326
billed_amount,numeric,flagged,mean,1692.4845285935085
billed_amount,numeric,flagged,median,435.89
billed_amount,numeric,unflagged,mean,1652.6620200032792
billed_amount,numeric,unflagged,median,429.24
allowed_amount,numeric,flagged,mean,994.5379752704793
allowed_amount,numeric,flagged,median,240.38
allowed_amount,numeric,unflagged,mean,945.3809952451221
allowed_amount,numeric,unflagged,median,241.93
paid_amount,numeric,flagged,mean,832.0844204018546
paid_amount,numeric,flagged,median,148.41
paid_amount,numeric,unflagged,mean,757.9158181669125
paid_amount,numeric,unflagged,median,124.1
er_flag,categorical,flagged,0,0.9675425038639877
er_flag,categorical,flagged,1,0.03245749613601236
er_flag,categorical,unflagged,0,0.9572060993605509
er_flag,categorical,unflagged,1,0.04279390063944909
high_cost_flag,categorical,flagged,0,0.973724884080371
high_cost_flag,categorical,flagged,1,0.02627511591962906
high_cost_flag,categorical,unflagged,0,0.9767994753238236
high_cost_flag,categorical,unflagged,1,0.023200524676176424
member_age_band,categorical,flagged,50-64,0.31375579598145287
member_age_band,categorical,flagged,65-79,0.23647604327666152
member_age_band,categorical,flagged,35-49,0.17928902627511592
member_age_band,categorical,flagged,18-34,0.1375579598145286
member_age_band,categorical,flagged,80+,0.07109737248840804
member_age_band,categorical,flagged,0-17,0.061823802163833076
member_age_band,categorical,unflagged,50-64,0.3037383177570093
member_age_band,categorical,unflagged,65-79,0.21519921298573536
member_age_band,categorical,unflagged,35-49,0.20519757337268404
member_age_band,categorical,unflagged,18-34,0.12116740449253977
member_age_band,categorical,unflagged,0-17,0.08173471060829644
member_age_band,categorical,unflagged,80+,0.07222495491064108
member_age_band,categorical,unflagged,(missing),0.0007378258730939498
member_sex,categorical,flagged,F,0.508500772797527
member_sex,categorical,flagged,M,0.49149922720247297
member_sex,categorical,unflagged,M,0.501311690441056
member_sex,categorical,unflagged,F,0.4986883095589441
