group_by,group_value,n,claim_count,paid_amount_sum,small_group_flag
provider_specialty,ASC,966,966,775948.8499999999,False
provider_specialty,Cardiology,157,157,93897.51999999999,False
provider_specialty,Clinical Laboratory,254,254,168400.07,False
provider_specialty,Critical Access Hospital,1225,1225,898337.3600000001,False
provider_specialty,DME Supplier,841,841,634611.68,False
provider_specialty,Diagnostic Radiology,71,71,66168.88,False
provider_specialty,Endocrinology,509,509,419000.4199999999,False
provider_specialty,Family Medicine,586,586,489734.37,False
provider_specialty,Gastroenterology,200,200,135994.03999999998,False
provider_specialty,General Acute Care Hospital,619,619,463652.27,False
provider_specialty,Geriatrics,515,515,409148.24,False
provider_specialty,Home Health,358,358,265949.32999999996,False
provider_specialty,Internal Medicine,636,636,453841.47000000003,False
provider_specialty,Nephrology,493,493,310059.45999999996,False
provider_specialty,Neurology,271,271,213627.25999999998,False
provider_specialty,OB/GYN,363,363,304013.21,False
provider_specialty,Oncology,405,405,287539.79000000004,False
provider_specialty,Orthopedic Surgery,685,685,442598.51,False
provider_specialty,Outpatient Clinic,481,481,365534.05000000005,False
provider_specialty,Pediatrics,499,499,414771.48,False
provider_specialty,Physical Therapy,399,399,299024.70999999996,False
provider_specialty,Psychiatry,191,191,146237.02000000002,False
provider_specialty,Pulmonology,543,543,407541.67000000004,False
provider_specialty,SNF,964,964,833672.8600000001,False
provider_specialty,Urology,614,614,484111.25,False
